Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Gene ontology (cellular component)	Gene ontology (biological process)
P78330	SERB_HUMAN	reviewed	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (L-3-phosphoserine phosphatase) (O-phosphoserine phosphohydrolase)	PSPH	Homo sapiens (Human)	225		cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuron projection [GO:0043005]	L-serine biosynthetic process [GO:0006564]; L-serine metabolic process [GO:0006563]; response to mechanical stimulus [GO:0009612]; response to nutrient levels [GO:0031667]; response to testosterone [GO:0033574]
P37108	SRP14_HUMAN	reviewed	Signal recognition particle 14 kDa protein (SRP14) (18 kDa Alu RNA-binding protein)	SRP14	Homo sapiens (Human)	136	SUBCELLULAR LOCATION: Cytoplasm.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]	cotranslational protein targeting to membrane [GO:0006613]; protein targeting to ER [GO:0045047]; response to drug [GO:0042493]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
P56537	IF6_HUMAN	reviewed	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6 EIF3A ITGB4BP OK/SW-cl.27	Homo sapiens (Human)	245	SUBCELLULAR LOCATION: Cytoplasm. Nucleus, nucleolus. Note=Shuttles between cytoplasm and nucleus/nucleolus.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]	assembly of large subunit precursor of preribosome [GO:1902626]; gene silencing by miRNA [GO:0035195]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]; mature ribosome assembly [GO:0042256]; miRNA mediated inhibition of translation [GO:0035278]; positive regulation of translation [GO:0045727]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of glycolytic process [GO:0006110]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of reactive oxygen species metabolic process [GO:2000377]; response to insulin [GO:0032868]; ribosomal subunit export from nucleus [GO:0000054]
O00743	PPP6_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	PPP6C PPP6	Homo sapiens (Human)	305	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16769727, ECO:0000269|PubMed:17568194}.	cytosol [GO:0005829]; Golgi membrane [GO:0000139]	COPII vesicle coating [GO:0048208]; G1/S transition of mitotic cell cycle [GO:0000082]; protein dephosphorylation [GO:0006470]
P40925	MDHC_HUMAN	reviewed	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase) (EC 1.1.1.96)	MDH1 MDHA	Homo sapiens (Human)	334	SUBCELLULAR LOCATION: Cytoplasm.	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]	gluconeogenesis [GO:0006094]; malate metabolic process [GO:0006108]; mitophagy in response to mitochondrial depolarization [GO:0098779]; NADH metabolic process [GO:0006734]; oxaloacetate metabolic process [GO:0006107]; positive regulation of defense response to virus by host [GO:0002230]; tricarboxylic acid cycle [GO:0006099]; xenophagy [GO:0098792]
Q9H4G0	E41L1_HUMAN	reviewed	Band 4.1-like protein 1 (Neuronal protein 4.1) (4.1N)	EPB41L1 KIAA0338	Homo sapiens (Human)	881	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.	cell-cell adherens junction [GO:0005913]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; plasma membrane [GO:0005886]	cortical actin cytoskeleton organization [GO:0030866]
Q6IBU0	Q6IBU0_HUMAN	unreviewed	EIF5 protein	EIF5	Homo sapiens (Human)	431			
Q8WV80	Q8WV80_HUMAN	unreviewed	MTAP protein		Homo sapiens (Human)	154			nucleoside metabolic process [GO:0009116]
Q9Y2D5	AKAP2_HUMAN	reviewed	A-kinase anchor protein 2 (AKAP-2) (AKAP-KL) (Protein kinase A-anchoring protein 2) (PRKA2)	AKAP2 KIAA0920 PRKA2	Homo sapiens (Human)	859			
P62266	RS23_HUMAN	reviewed	40S ribosomal protein S23	RPS23	Homo sapiens (Human)	143		cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
Q5QTQ6	Q5QTQ6_HUMAN	unreviewed	MSTP010 (cDNA FLJ11394 fis, clone HEMBA1000592, highly similar to Sorting nexin-6)		Homo sapiens (Human)	216		intracellular [GO:0005622]	intracellular protein transport [GO:0006886]
Q9HC35	EMAL4_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	EML4 C2orf2 EMAPL4	Homo sapiens (Human)	981	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.	cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]	microtubule-based process [GO:0007017]; mitotic nuclear division [GO:0007067]
P51858	HDGF_HUMAN	reviewed	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF HMG1L2	Homo sapiens (Human)	240	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.	cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; transcriptional repressor complex [GO:0017053]	cell proliferation [GO:0008283]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; signal transduction [GO:0007165]; transcription, DNA-templated [GO:0006351]
Q9BTE6	AASD1_HUMAN	reviewed	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	AARSD1	Homo sapiens (Human)	412	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	cytoplasm [GO:0005737]; nucleus [GO:0005634]	alanyl-tRNA aminoacylation [GO:0006419]; regulation of translational fidelity [GO:0006450]
Q9NQP4	PFD4_HUMAN	reviewed	Prefoldin subunit 4 (Protein C-1)	PFDN4 PFD4	Homo sapiens (Human)	134	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17936702}. Cytoplasm {ECO:0000269|PubMed:17936702}. Mitochondrion {ECO:0000269|PubMed:17936702}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; prefoldin complex [GO:0016272]	protein folding [GO:0006457]
Q5HYM2	Q5HYM2_HUMAN	unreviewed	Putative uncharacterized protein DKFZp686O2462 (Fragment)	DKFZp686O2462	Homo sapiens (Human)	626		cytosol [GO:0005829]; retromer complex [GO:0030904]	retrograde transport, endosome to Golgi [GO:0042147]
Q12904	AIMP1_HUMAN	reviewed	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 (Multisynthase complex auxiliary component p43) [Cleaved into: Endothelial monocyte-activating polypeptide 2 (EMAP-2) (Endothelial monocyte-activating polypeptide II) (EMAP-II) (Small inducible cytokine subfamily E member 1)]	AIMP1 EMAP2 SCYE1	Homo sapiens (Human)	312	SUBCELLULAR LOCATION: Nucleus. Cytoplasm, cytosol. Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Secreted {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}. Golgi apparatus {ECO:0000250}. Note=Enriched in secretory vesicles of pancreatic alpha cells and secreted from the pancreas in response to low glucose levels (By similarity). Also secreted in response to hypoxia and both apoptotic and necrotic cell death. {ECO:0000250}.	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; methionyl glutamyl tRNA synthetase complex [GO:0017102]; nucleus [GO:0005634]; transport vesicle [GO:0030133]	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; chemotaxis [GO:0006935]; defense response to virus [GO:0051607]; glucose metabolic process [GO:0006006]; inflammatory response [GO:0006954]; leukocyte migration [GO:0050900]; negative regulation of endothelial cell proliferation [GO:0001937]; response to wounding [GO:0009611]; signal transduction [GO:0007165]; tRNA aminoacylation for protein translation [GO:0006418]
Q6IAT1	Q6IAT1_HUMAN	unreviewed	Epididymis secretory sperm binding protein Li 46e (GDI2 protein) (GDP dissociation inhibitor 2 isoform 1) (GDP dissociation inhibitor 2, isoform CRA_b) (cDNA, FLJ92845, Homo sapiens GDP dissociation inhibitor 2 (GDI2), mRNA)	GDI2 HEL-S-46e hCG_24071	Homo sapiens (Human)	445		Golgi apparatus [GO:0005794]; myelin sheath [GO:0043209]	protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]; vesicle-mediated transport [GO:0016192]
Q14118	DAG1_HUMAN	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Homo sapiens (Human)	895	SUBCELLULAR LOCATION: Alpha-dystroglycan: Secreted, extracellular space.; SUBCELLULAR LOCATION: Beta-dystroglycan: Cell membrane; Single-pass type I membrane protein. Cytoplasm, cytoskeleton. Nucleus, nucleoplasm. Cell membrane, sarcolemma {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}. Note=The monomeric form translocates to the nucleus via the action of importins and depends on RAN. Nuclear transport is inhibited by Tyr-892 phosphorylation. In skeletal muscle, this phosphorylated form locates to a vesicular internal membrane compartment. In muscle cells, sarcolemma localization requires the presence of ANK2, while localization to costameres requires the presence of ANK3. Localizes to neuromuscular junctions (NMJs) in the presence of ANK2 (By similarity). In peripheral nerves, localizes to the Schwann cell membrane. Colocalizes with ERM proteins in Schwann-cell microvilli. {ECO:0000250}.	basement membrane [GO:0005604]; basolateral plasma membrane [GO:0016323]; cell-cell adherens junction [GO:0005913]; cell outer membrane [GO:0009279]; contractile ring [GO:0070938]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dystroglycan complex [GO:0016011]; dystrophin-associated glycoprotein complex [GO:0016010]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; membrane raft [GO:0045121]; node of Ranvier [GO:0033268]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]	basement membrane organization [GO:0071711]; branching involved in salivary gland morphogenesis [GO:0060445]; calcium-dependent cell-matrix adhesion [GO:0016340]; commissural neuron axon guidance [GO:0071679]; cytoskeletal anchoring at plasma membrane [GO:0007016]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; extracellular matrix organization [GO:0030198]; membrane protein ectodomain proteolysis [GO:0006509]; microtubule anchoring [GO:0034453]; modulation by virus of host morphology or physiology [GO:0019048]; morphogenesis of an epithelial sheet [GO:0002011]; myelination in peripheral nervous system [GO:0022011]; negative regulation of cell migration [GO:0030336]; negative regulation of MAPK cascade [GO:0043409]; negative regulation of protein kinase B signaling [GO:0051898]; nerve maturation [GO:0021682]; NLS-bearing protein import into nucleus [GO:0006607]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; protein O-linked glycosylation [GO:0006493]; regulation of embryonic cell shape [GO:0016476]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; response to peptide hormone [GO:0043434]
P85037	FOXK1_HUMAN	reviewed	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	FOXK1 MNF	Homo sapiens (Human)	733	SUBCELLULAR LOCATION: Nucleus {ECO:0000255, ECO:0000305}.	nucleus [GO:0005634]	cell differentiation [GO:0030154]; muscle organ development [GO:0007517]; negative regulation of cell growth [GO:0030308]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]
P13861	KAP2_HUMAN	reviewed	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21423175}. Cell membrane {ECO:0000269|PubMed:21423175}. Note=Colocalizes with PJA2 in the cytoplasm and the cell membrane.	cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleotide-activated protein kinase complex [GO:0031588]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]	activation of protein kinase A activity [GO:0034199]; blood coagulation [GO:0007596]; cellular response to glucagon stimulus [GO:0071377]; intracellular signal transduction [GO:0035556]; negative regulation of cAMP-dependent protein kinase activity [GO:2000480]; renal water homeostasis [GO:0003091]
A8MPQ8	A8MPQ8_HUMAN		Deleted.						
Q6IAT9	Q6IAT9_HUMAN	unreviewed	Proteasome subunit beta type (EC 3.4.25.1)	PSMB6 hCG_32695	Homo sapiens (Human)	239	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU000694}. Nucleus {ECO:0000256|RuleBase:RU000694}.; SUBCELLULAR LOCATION: Nucleus {ECO:0000256|SAAS:SAAS00551005}.	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; proteasome core complex [GO:0005839]	proteolysis involved in cellular protein catabolic process [GO:0051603]
Q13685	AAMP_HUMAN	reviewed	Angio-associated migratory cell protein	AAMP	Homo sapiens (Human)	434	SUBCELLULAR LOCATION: Cell membrane. Cytoplasm.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; preribosome, large subunit precursor [GO:0030687]	angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of endothelial cell migration [GO:0010595]; ribosomal large subunit biogenesis [GO:0042273]; smooth muscle cell migration [GO:0014909]
Q7Z5T5	Q7Z5T5_HUMAN	unreviewed	Eukaryotic translation initiation factor 3 subunit A (Fragment)	EIF3A	Homo sapiens (Human)	812	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|SAAS:SAAS00535959}.	eukaryotic translation initiation factor 3 complex [GO:0005852]	
Q06210	GFPT1_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	Homo sapiens (Human)	699		cytosol [GO:0005829]; extracellular exosome [GO:0070062]	carbohydrate metabolic process [GO:0005975]; cellular response to insulin stimulus [GO:0032869]; circadian regulation of gene expression [GO:0032922]; energy reserve metabolic process [GO:0006112]; fructose 6-phosphate metabolic process [GO:0006002]; glucosamine biosynthetic process [GO:0006042]; glutamine metabolic process [GO:0006541]; IRE1-mediated unfolded protein response [GO:0036498]; negative regulation of glycogen biosynthetic process [GO:0045719]; protein homotetramerization [GO:0051289]; response to sucrose [GO:0009744]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; UDP-N-acetylglucosamine metabolic process [GO:0006047]
Q16658	FSCN1_HUMAN	reviewed	Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55)	FSCN1 FAN1 HSN SNL	Homo sapiens (Human)	493	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21706053, ECO:0000269|PubMed:9571235}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:3525578, ECO:0000269|PubMed:9571235}. Cell projection, filopodium {ECO:0000269|PubMed:20137952, ECO:0000269|PubMed:3525578}. Cell projection, invadopodium {ECO:0000269|PubMed:20137952}. Cell projection, microvillus {ECO:0000269|PubMed:9571235}. Cell junction {ECO:0000269|PubMed:9571235}. Note=In glioma cells, partially colocalizes with F-actin stress fibers in the cytosol (PubMed:21706053). Colocalized with RUFY3 and F-actin at filipodia of the axonal growth cone. Colocalized with DBN1 and F-actin at the transitional domain of the axonal growth cone (By similarity). {ECO:0000250|UniProtKB:Q61553, ECO:0000269|PubMed:21706053}.	actin cytoskeleton [GO:0015629]; cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; cell projection membrane [GO:0031253]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; filopodium [GO:0030175]; growth cone [GO:0030426]; invadopodium [GO:0071437]; lamellipodium [GO:0030027]; microspike [GO:0044393]; microvillus [GO:0005902]; myelin sheath [GO:0043209]; podosome [GO:0002102]; ruffle [GO:0001726]; stress fiber [GO:0001725]	actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; anatomical structure morphogenesis [GO:0009653]; cell-cell junction assembly [GO:0007043]; cell migration [GO:0016477]; cell motility [GO:0048870]; cell proliferation [GO:0008283]; establishment of apical/basal cell polarity [GO:0035089]; microspike assembly [GO:0030035]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of podosome assembly [GO:0071803]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of microvillus assembly [GO:0032534]
Q5TBB1	RNH2B_HUMAN	reviewed	Ribonuclease H2 subunit B (RNase H2 subunit B) (Aicardi-Goutieres syndrome 2 protein) (AGS2) (Deleted in lymphocytic leukemia 8) (Ribonuclease HI subunit B)	RNASEH2B DLEU8	Homo sapiens (Human)	312	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	nucleus [GO:0005634]; ribonuclease H2 complex [GO:0032299]	in utero embryonic development [GO:0001701]; negative regulation of gene expression [GO:0010629]; positive regulation of fibroblast proliferation [GO:0048146]; regulation of DNA damage checkpoint [GO:2000001]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; ribonucleotide metabolic process [GO:0009259]; RNA catabolic process [GO:0006401]
P42224	STAT1_HUMAN	reviewed	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15322115}. Nucleus {ECO:0000269|PubMed:15322115}. Note=Translocated into the nucleus upon tyrosine phosphorylation and dimerization, in response to IFN-gamma and signaling by activated FGFR1, FGFR2, FGFR3 or FGFR4.	axon [GO:0030424]; cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; nuclear chromatin [GO:0000790]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	apoptotic process [GO:0006915]; blood circulation [GO:0008015]; cellular response to interferon-beta [GO:0035458]; cellular response to organic cyclic compound [GO:0071407]; defense response to virus [GO:0051607]; interferon-gamma-mediated signaling pathway [GO:0060333]; JAK-STAT cascade [GO:0007259]; macrophage derived foam cell differentiation [GO:0010742]; metanephric mesenchymal cell differentiation [GO:0072162]; metanephric mesenchymal cell proliferation involved in metanephros development [GO:0072136]; negative regulation by virus of viral protein levels in host cell [GO:0046725]; negative regulation of angiogenesis [GO:0016525]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003340]; negative regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072308]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of apoptotic process [GO:0042981]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; renal tubule development [GO:0061326]; response to cAMP [GO:0051591]; response to cytokine [GO:0034097]; response to interferon-beta [GO:0035456]; response to peptide hormone [GO:0043434]; transcription, DNA-templated [GO:0006351]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; type I interferon signaling pathway [GO:0060337]
Q86VP6	CAND1_HUMAN	reviewed	Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)	CAND1 KIAA0829 TIP120 TIP120A	Homo sapiens (Human)	1230	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21249194}. Nucleus {ECO:0000269|PubMed:21249194}. Note=Predominantly cytoplasmic.	cullin-RING ubiquitin ligase complex [GO:0031461]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	cell differentiation [GO:0030154]; negative regulation of catalytic activity [GO:0043086]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; protein ubiquitination [GO:0016567]; SCF complex assembly [GO:0010265]
Q53GZ5	Q53GZ5_HUMAN	unreviewed	Ribonucleoside-diphosphate reductase (EC 1.17.4.1) (Fragment)		Homo sapiens (Human)	792			DNA replication [GO:0006260]
O95352	ATG7_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7 APG7L	Homo sapiens (Human)	703	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Preautophagosomal structure {ECO:0000250}. Note=Localizes also to discrete punctae along the ciliary axoneme and to the base of the ciliary axoneme. {ECO:0000250}.	axoneme [GO:0005930]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; pre-autophagosomal structure [GO:0000407]	cellular protein modification process [GO:0006464]; cellular response to hyperoxia [GO:0071455]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; C-terminal protein lipidation [GO:0006501]; defense response to virus [GO:0051607]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; membrane fusion [GO:0061025]; piecemeal microautophagy of nucleus [GO:0034727]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein modification process [GO:0031401]; protein lipidation [GO:0006497]; protein transport [GO:0015031]; regulation of mitophagy [GO:1903146]; suppression by virus of host autophagy [GO:0039521]
Q32Q12	Q32Q12_HUMAN	unreviewed	Nucleoside diphosphate kinase (EC 2.7.4.6)	NME1-NME2 hCG_2001850	Homo sapiens (Human)	292		cytoplasm [GO:0005737]	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
